17-01-2023 14:57:40.338;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 15:00:32.549;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 15:00:36.516;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 15:02:04.976;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 15:02:18.524;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:07:18.427;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:12:18.448;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:17:18.471;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:22:18.497;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:27:18.512;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:32:18.532;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:37:18.561;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:42:18.576;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:47:18.596;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:52:18.611;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 15:57:18.633;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 16:02:18.654;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 16:07:18.678;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 16:12:18.703;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 16:17:18.726;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
17-01-2023 16:22:18.748;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
